title	link	date	title_corrected	summary
En el 2016 refugiados tendrán más problemas para buscar asilo en Europa - Semana.com	https://www.semana.com/mundo/articulo/refugiados-en-europa-tendran-mas-problemas-en-2016/455619-3/	2016-01-04	En el 2016 refugiados tendrán más problemas para buscar asilo en Europa	Crear cuenta - Iniciar sesión - Suscribirse - Ayuda Iniciar sesión Iniciar sesión Iniciar sesión Iniciar sesión Últimas noticiasNaciónCoronavirusOpiniónEconomíaMundo GenteCulturaTecnologíaCiclismoDeportesVida Moderna Semana TVEdición impresaEducaciónSostenibleForos SemanaEspeciales GaleríasSemana PódcastCaricaturasFinanzas PersonalesContenido en colaboraciónMejor Colombia Viernes, 6 agosto 2021 Últimas noticiasNaciónCoronavirusOpiniónEconomía By: MundoGente By: Cultura By: TecnologíaCiclismoDeportesVida ModernaSemana TVEdición impresaEducaciónSostenible By: Foros SemanaEspecialesGaleríasSemana PódcastCaricaturasFinanzas Personales By: Contenido en colaboraciónMejor Colombia Iniciar sesión Tendencias CoronavirusClaudia LópezTrumpVenezuelaIván DuqueFalcaoSelección Colombia 
Cuba y sus refugiados - Semana.com	https://www.semana.com/educacion/articulo/de-cuba-tambien-vienen-refugiados/456423-3/	2016-01-12	Cuba y sus refugiados	Crear cuenta - Iniciar sesión - Suscribirse - Ayuda Iniciar sesión Iniciar sesión Iniciar sesión Iniciar sesión Últimas noticiasNaciónCoronavirusOpiniónEconomíaMundo GenteCulturaTecnologíaCiclismoDeportesVida Moderna Semana TVEdición impresaEducaciónSostenibleForos SemanaEspeciales GaleríasSemana PódcastCaricaturasFinanzas PersonalesContenido en colaboraciónMejor Colombia Viernes, 6 agosto 2021 Últimas noticiasNaciónCoronavirusOpiniónEconomía By: MundoGente By: Cultura By: TecnologíaCiclismoDeportesVida ModernaSemana TVEdición impresaEducaciónSostenible By: Foros SemanaEspecialesGaleríasSemana PódcastCaricaturasFinanzas Personales By: Contenido en colaboraciónMejor Colombia Iniciar sesión Tendencias CoronavirusClaudia LópezTrumpVenezuelaIván DuqueFalcaoSelección Colombia 
Seis coyotes capturados en Medellín por traficar con migrantes - El Colombiano	https://www.elcolombiano.com/antioquia/seguridad/coyotes-encargados-de-llevar-migrantes-hacia-uraba-fueron-capturados-DL3508500	2016-01-29	Seis coyotes capturados en Medellín por traficar con migrantes	Seis coyotes capturados y 21 migrantes rescatados fue el saldo que dejó una operación adelantada en conjunto por Migración Colombia y la Fiscalía en Antioquia contra las bandas dedicadas al tráfico de migrantes que operan desde la frontera con Ecuador (Nariño) hasta Urabá. Solo debés ingresar unos datos mínimos para crear tu cuenta y leer todo el artículo. Iniciá sesión con tu correo y contraseña Los objetivos de la comisión oficial que va a Haití 
Traficantes de migrantes, en la mira de “los Urabeños” - El Colombiano	https://www.elcolombiano.com/antioquia/trafico-de-migrantes-en-el-uraba-esta-en-la-mira-de-los-urabenos-MY3661259	2016-02-26	Traficantes de migrantes, en la mira de “los Urabeños”	Por ejercer esa labor ilegal lo habrían asesinado en la noche del pasado 28 de enero. Solo debés ingresar unos datos mínimos para crear tu cuenta y leer todo el artículo. Iniciá sesión con tu correo y contraseña Los objetivos de la comisión oficial que va a Haití 
Caos en la Jungla, el campo de refugiados en Calais - Semana.com	https://www.semana.com/francia-desmantela-el-campo-de-refugiados-de-calais/463548	2016-03-01	Caos en la Jungla, el campo de refugiados en Calais	Crear cuenta - Iniciar sesión - Suscribirse - Ayuda Iniciar sesión Iniciar sesión Iniciar sesión Iniciar sesión Últimas noticiasNaciónCoronavirusOpiniónEconomíaMundo GenteCulturaTecnologíaCiclismoDeportesVida Moderna Semana TVEdición impresaEducaciónSostenibleForos SemanaEspeciales GaleríasSemana PódcastCaricaturasFinanzas PersonalesContenido en colaboraciónMejor Colombia Viernes, 6 agosto 2021 Últimas noticiasNaciónCoronavirusOpiniónEconomía By: MundoGente By: Cultura By: TecnologíaCiclismoDeportesVida ModernaSemana TVEdición impresaEducaciónSostenible By: Foros SemanaEspecialesGaleríasSemana PódcastCaricaturasFinanzas Personales By: Contenido en colaboraciónMejor Colombia Iniciar sesión Tendencias CoronavirusClaudia LópezTrumpVenezuelaIván DuqueFalcaoSelección Colombia 
¿Sabe la diferencia entre un refugiado y un inmigrante? - Semana.com	https://www.semana.com/educacion/articulo/diferencia-entre-refugiado-e-inmigrante/466528/	2016-03-23	¿Sabe la diferencia entre un refugiado y un inmigrante?	Crear cuenta - Iniciar sesión - Suscribirse - Ayuda Iniciar sesión Iniciar sesión Iniciar sesión Iniciar sesión Últimas noticiasNaciónCoronavirusOpiniónEconomíaMundo GenteCulturaTecnologíaCiclismoDeportesVida Moderna Semana TVEdición impresaEducaciónSostenibleForos SemanaEspeciales GaleríasSemana PódcastCaricaturasFinanzas PersonalesContenido en colaboraciónMejor Colombia Viernes, 6 agosto 2021 Últimas noticiasNaciónCoronavirusOpiniónEconomía By: MundoGente By: Cultura By: TecnologíaCiclismoDeportesVida ModernaSemana TVEdición impresaEducaciónSostenible By: Foros SemanaEspecialesGaleríasSemana PódcastCaricaturasFinanzas Personales By: Contenido en colaboraciónMejor Colombia Iniciar sesión Tendencias CoronavirusClaudia LópezTrumpVenezuelaIván DuqueFalcaoSelección Colombia 
Papa Francisco se lleva doce refugiados al Vaticano - Semana.com	https://www.semana.com/el-papa-francisco-se-lleva-a-vivir-doce-refugiados-al-vaticano/469719/	2016-04-16	Papa Francisco se lleva doce refugiados al Vaticano	Crear cuenta - Iniciar sesión - Suscribirse - Ayuda Iniciar sesión Iniciar sesión Iniciar sesión Iniciar sesión Últimas noticiasNaciónCoronavirusOpiniónEconomíaMundo GenteCulturaTecnologíaCiclismoDeportesVida Moderna Semana TVEdición impresaEducaciónSostenibleForos SemanaEspeciales GaleríasSemana PódcastCaricaturasFinanzas PersonalesContenido en colaboraciónMejor Colombia Viernes, 6 agosto 2021 Últimas noticiasNaciónCoronavirusOpiniónEconomía By: MundoGente By: Cultura By: TecnologíaCiclismoDeportesVida ModernaSemana TVEdición impresaEducaciónSostenible By: Foros SemanaEspecialesGaleríasSemana PódcastCaricaturasFinanzas Personales By: Contenido en colaboraciónMejor Colombia Iniciar sesión Tendencias CoronavirusClaudia LópezTrumpVenezuelaIván DuqueFalcaoSelección Colombia 
Canadá, el país con más refugiados sirios - elespectador.com	https://www.elespectador.com/mundo/europa/canada-el-pais-con-mas-refugiados-sirios-article-630483/	2016-05-04	Canadá, el país con más refugiados sirios	Más de 48.000 sirios han sido reubicados en ese país con el patrocinio del Gobierno —liderado por Justin Trudeau—, Acnur y entidades privadas. Desde finales del siglo XVIII, Canadá se ha convertido en el hogar de aquellos que huyen por el conflicto o la amenaza política. El proceso es menos burocrático (algunos solicitudes de asilo en Europa pueden demorar hasta cinco años) y el Gobierno busca atajar eventuales sorpresas. 
Naufragó un barco en el Mediterráneo con más de 500 refugiados - El Colombiano	https://www.elcolombiano.com/multimedia/imagenes/naufrago-un-barco-en-el-mediterraneo-con-mas-de-500-refugiados-DY4212995	2016-05-25	Naufragó un barco en el Mediterráneo con más de 500 refugiados	Naufragó un barco en el Mediterráneo con más de 500 refugiados - Pantalla completa - Ocultar miniaturas - - 25/05/2016 
Situación de inmigrantes en Turbo es cada vez más tensa - El Colombiano	https://www.elcolombiano.com/antioquia/situacion-de-inmigrantes-en-turbo-es-cada-vez-mas-tensa-JF4700957	2016-08-04	Situación de inmigrantes en Turbo es cada vez más tensa	“Llegamos a las 6:00 de la mañana a pedir el salvoconducto para buscar seguir nuestro camino, pero empezaron a tomarnos los datos y de pronto nos dejaron encerrados, temimos que pasara lo peor”, narró Yuri García momentos después de ser liberado junto a otras 34 personas que vivieron la misma situación. Solo debés ingresar unos datos mínimos para crear tu cuenta y leer todo el artículo. Iniciá sesión con tu correo y contraseña Los objetivos de la comisión oficial que va a Haití 
