title	link	date	title_corrected	summary
Cinco mil migrantes llegan a la frontera con Hungría - La Prensa de Panamá	https://www.prensa.com/mundo/mil-migrantes-llegan-frontera-Hungria_0_4297820299.html	2015-09-10	Cinco mil migrantes llegan a la frontera con Hungría	Unos 3 mil 300 migrantes ya han atravesado la frontera con Hungría, país de la Unión Europea, precisó RTS. Solo unos cuantos se quedarán en el país, la mayoría seguirá su viaje, principalmente hacia Alemania. El pasado fin de semana, Austria decidió permitir a los migrantes entrar en el país libremente para tratar de aliviar la situación en Hungría, adonde llegaron 50 mil migrantes en agosto. 
Croacia y Eslovenia piensan en corredores para los refugiados hasta Austria - La Prensa de Panamá	https://www.prensa.com/mundo/Croacia-Eslovenia-corredores-refugiados-Austria_0_4302319855.html	2015-09-16	Croacia y Eslovenia piensan en corredores para los refugiados hasta Austria	"Croacia y Eslovenia están pensando en crear corredores humanitarios hasta Austria para los refugiados de Oriente Medio que empezaron hoy a cruzar la frontera serbocroata después de que Hungría sellara su frontera para los inmigrantes. Si resulta necesario también organizaremos corredores"", señaló en la red social Twitter el titular del Interior de Croacia, Ranko Ostojic. Por su parte, las autoridades eslovenas anunciaron el lunes que tienen sitio para un millar de personas, pero que podrían aumentar sus capacidades con el tiempo, aunque sería un reto afrontar una repentina y masiva llegada de refugiados. "
Estados Unidos aceptará más refugiados de lo que se planeaba: Kerry - La Prensa de Panamá	https://www.prensa.com/mundo/Unidos-aceptara-refugiados-planeaba-Kerry_0_4305319546.html	2015-09-20	Estados Unidos aceptará más refugiados de lo que se planeaba: Kerry	Kerry indicó que su país está listo para ayudar a abordar la crisis. El ministro no dio más detalles sobre el número exacto de refugiados sirios que se espera que sean aceptados. El presidente de EU, Barack Obama, había anunciado que su administración permitiría la entrada de al menos 10 mil refugiados sirios el próximo año. 
Prostituidos y explotados: dura realidad de niños migrantes - Crítica	https://www.critica.com.pa/mundo/prostituidos-y-explotados-dura-realidad-de-ninos-migrantes-406874	2015-09-22	Prostituidos y explotados: dura realidad de niños migrantes	Mientras los líderes europeos discuten qué medidas tomar en cuanto al enorme flujo de refugiados y otros migrantes hacia Europa -y no hay solución inmediata- son los más vulnerables quienes se llevan la peor parte. Como resultado de esta investigación, y tras otro reporte oficial llevado a cabo por parlamentarios italianos, el centro fue cerrado hace unos días. Nuestro equipo de la BBC estaba en la estación con cámaras ocultas y Khaled decidió mostrarnos cómo funciona este negocio. 
Buscan crear conciencia en Panamá sobre situación de los refugiados - La Estrella de Panamá	https://www.laestrella.com.pa/nacional/151119/crear-buscan-panama-situacion-conciencia	2015-11-19	Buscan crear conciencia en Panamá sobre situación de los refugiados	El equipo de ONPAR integrado por la directora Yeribeth de Calvo, la subdirectora Crismar Álvarez, así como un psicólogo y asesor legal de la entidad y el personal de HIAS explicaron a los estudiantes la diferencia entre un refugiado y un migrante, destacando que los refugiados huyen de sus países por persecución, motivos políticos, religiosos, entre otros y los migrantes se desplazan a otros países por trabajo, estudios, etc. Se ahondó sobre la vida de algunos famosos como el científico Albert Einstein y la escritora Isabel Allende, quienes tuvieron que abandonar sus países de origen y se convirtieron en refugiados. El taller forma parte de un plan piloto que se prevé hacerlo extensivo a todas las escuelas a las que asisten niños y adolescentes refugiados el próximo año. 
Política exterior divagante: Panamá está en coalición, pero no recibirá refugiados sirios - Panamá América	https://www.panamaamerica.com.pa/nacion/politica-exterior-divagante-panama-esta-en-coalicion-pero-no-recibira-refugiados-sirios	2015-11-22	Política exterior divagante: Panamá está en coalición, pero no recibirá refugiados sirios	Política exterior divagante: Panamá está en coalición, pero no recibirá refugiados sirios El asesor de la Cancillería, Javier Bonagas, confirmó este domingo que el Gobierno de Panamá no planea recibir inmigrantes sirios. - - Actualizado: 22/11/2015 - 05:26 pm El asesor de la Cancillería, Javier Bonagas confirmó este domingo que el Gobierno de Panamá no planea recibir inmigrantes sirios. Las declaraciones de Bonagas, que se dieron en el programa Radar, contrastan con las afirmaciones del mandatario, Juan Carlos Varela, que aseguró la semana pasada que Panamá tendrá un papel activo en este conflicto surgido por el terrorismo. 
El 34% de los refugiados en Panamá son niños - La Estrella de Panamá	https://www.laestrella.com.pa/nacional/151205/34-son-ninos-panama-refugiados	2015-12-05	El 34% de los refugiados en Panamá son niños	El 34% de los refugiados en Panamá son niños En el país hay unas 2,362 personas registradas como asilados. Actualmente, los niños que atiende Onpar proceden de Colombia, El Salvador, Nicaragua y Nigeria, países donde los conflictos armados y el dominio del crimen organizado atormentan a gran parte de su población. Ya varios países han copiado la buena práctica', indicó Yaribeth Abrego, directora de Onpar. 
Sacha Baron Cohen y su esposa donarán un millón de dólares a refugiados sirios - La Prensa	https://www.prensa.com/entretenimiento/Sacha-Baron-Cohen-dolares-refugiados_0_4378812163.html	2015-12-27	Sacha Baron Cohen y su esposa donarán un millón de dólares a refugiados sirios	El cómico británico Sacha Baron Cohen y su esposa, la también actriz Isla Fisher, donarán un millón de dólares para ayudar a los refugiados sirios, anunciaron las oenegés receptoras este domingo. Millones más se encuentran desplazados en otras partes del país. Sacha Baron Cohen y su esposa donarán un millón de dólares a refugiados sirios El cómico británico Sacha Baron Cohen y su esposa, la también actriz Isla Fisher, donarán un millón de dólares para ayudar a los refugiados sirios, anunciaron las oenegés receptoras este domingo. 
Papa rifa regalos para recabar fondos para refugiados - Día a día	https://www.diaadia.com.pa/mundo/papa-rifa-regalos-para-recabar-fondos-para-refugiados-644829	2016-01-08	Papa rifa regalos para recabar fondos para refugiados	"El deseo del papa, según la Gobernación, es que los ingresos procedentes de la ""generosidad de los participantes"" se destinen a los refugiados y a los ""sintecho"". El dirigente de la Limosnería Apostólica, Diego Ravelli, explicó a Radio Vaticano que los premios ""son regalos que ha recibido el papa y que él ha querido donar"". Puede cambiar la configuración u obtener más información aquí "
ONPAR promueve la no discriminación y respeto a los derechos humanos de la población refugiada que reside en Panamá – Noticias de panamá Periódico diario de Panamá Novedades - panama24horas.com.pa	https://www.panama24horas.com.pa/panama/onpar-promueve-la-no-discriminacion-y-respeto-a-los-derechos-humanos-de-la-poblacion-refugiada-que-reside-en-panama/	2016-03-06	ONPAR promueve la no discriminación y respeto a los derechos humanos de la población refugiada que reside en Panamá – Noticias de panamá Periódico diario de Panamá Novedades	Como parte del programa del taller se contó con la intervención de HIAS Panamá, quien realizó dinámicas con los adolescentes de dicho plantel educativo que los ayude a identificar al refugiado, además trabajos en grupo donde se habló de la vida de algunos famosos como Albert Einstein e Isabel Allende, quienes huyeron de su nación de origen en busca de protección internacional y al llegar a su país de acogida, aportaron sus conocimientos y talentos Los representantes de la organización RET abordaron el mensaje de la campaña “Lo que nos Une” que busca la no discriminación y xenofobia contra los niños, niñas y adolescentes potenciando en dicha campaña que viene desarrollando dicha organización con jóvenes refugiados en Panamá, a fin de fortalecer su participación, liderazgo y organización, siendo los adolescentes, quienes se establezcan como agentes de cambio constructivo y al final de su participación invitaron a los jóvenes de dicho colegio a pintar con tempera sobre una tela blanca las frases con las cuales ellos pudiesen identificarse con jóvenes refugiados y sumarse de esta forma a la campaña. HlAS es la organización global, sin fines de lucro que ofrece programas internacionales de protección y asistencia a los refugiados, la protección contra la violencia y la prestación de servicios tales como asesoramiento psicológico, terapia de arte, asesoramiento jurídico y la asistencia humanitaria. Por su parte, RET tiene como propósito responder a las necesidades educativas de jóvenes en condiciones de vulnerabilidad por desplazamiento, refugio, desastres naturales, violencia, entre otros. 
