title	link	date	title_corrected	summary
Acnur critica actitud de la UE sobre acogida de refugiados - teleSUR TV	https://www.telesurtv.net/news/Acnur-critica-actitud-de-la-UE-sobre-acogida-de-refugiados-20150915-0026.html	2015-09-15	Acnur critica actitud de la UE sobre acogida de refugiados	"¿Consideras que se haga justicia en el caso cuando falta saber quiénes son los autores intelectuales del crimen?. ""Tenemos que tomar decisiones ya"" porque ""esta situación es una emergencia absoluta"", refirió el alto comisionado de la ONU para los refugiados Antonio Guterres, demandó que abran los centros de recepción en los que se pueda dar asistencia y registrar a los refugiados para saber quién debe recibir protección internacional. Lee también -→ Alemania activa controles fronterizos por llegada de refugiados Ingresa o Regístrate para poder comentar, usar el foro y más "
¿Por qué Alemania defiende la acogida de refugiados? - teleSUR TV	https://www.telesurtv.net/news/Acoger-refugiados-podria-afectar-realmente-la-economia-europea-20150910-0027.html	2015-09-18	¿Por qué Alemania defiende la acogida de refugiados?	¿Consideras que se haga justicia en el caso cuando falta saber quiénes son los autores intelectuales del crimen?. Sin embargo, varios analistas y estudios indican las ventajas económicas que representan estas personas para el llamado viejo continente. Simplemente eso” dijo desde la frontera en Serbia, donde Hungría ha reforzado los controles para frenar la ola de refugiados. 
El Estimulo | Fiesta de la cerveza en Múnich: ahora con refugiados - elestimulo.com	https://elestimulo.com/ub/fiesta-de-la-cerveza-en-munich-ahora-con-refugiados/	2015-09-19	El EstimuloFiesta de la cerveza en Múnich: ahora con refugiados	Múnich, Alemania | AFP La tradicional fiesta de la cerveza comenzó este sábado en Múnich, en el sur de Alemania, donde las autoridades tomaron medidas para evitar eventuales incidentes entre los refugiados que llegaron en los últimos días y los numerosos visitantes que acudan al evento. «La situación es mucho menos tensa que en los últimos días», confirmó Wolfgang Hauner, portavoz de la policía federal. Los migrantes saldrán por el norte, donde unos voluntarios los acogen cada día con comida, bebida y otros productos de primera necesidad. 
Colegios y pupitres vacíos: la educación de la migración - elestimulo.com	https://elestimulo.com/climax/colegios-y-pupitres-vacios-la-educacion-de-la-migracion/	2015-10-06	Colegios y pupitres vacíos: la educación de la migración	En el colegio Institutos Educaciones Asociados —conocido como El Peñón—, la nómina habitual de kínder, primaria y secundaria rebosaba los 1.500 alumnos; pero en julio pasado se situó en 1.300, según una fuente interna. Su hijo no pudo acudir a su graduación como bachiller, mucho menos dejar que sus compañeros le firmaran con marcador grueso la chemise de color beige. “Tuve un caso importante en el año escolar pasado de una niña cuya familia se marchaba a Alemania, lo que implicaba un cambio fuerte, además del idioma”, relata otra psicóloga infantil, Gladys García. 
La crisis de los refugiados en las Américas - teleSUR TV	https://www.telesurtv.net/opinion/La-crisis-de-los-refugiados-en-las-Americas-20151009-0055.html	2015-10-09	La crisis de los refugiados en las Américas	"Le conté un poco de mi historia y me dijo que nos ayudaría, pero nos entregó a la Patrulla Fronteriza"". Ellos residen en Utah, donde Ana limpia hoteles a tiempo completo y vive con el padre mexicano de sus hijos nacidos en Estados Unidos, quien también es indocumentado. Esto se debe en parte a la crisis económica de Estados Unidos y la presión que Washington está ejerciendo sobre los gobiernos para hacer el viaje más difícil. "
Merkel teme conflicto armado si Alemania cierra frontera a migrantes - elestimulo.com	https://elestimulo.com/merkel-teme-conflicto-armado-si-alemania-cierra-frontera-a-migrantes/	2015-11-03	Merkel teme conflicto armado si Alemania cierra frontera a migrantes	La canciller alemana Angela Merkel cree que podrían darse enfrentamientos armados entre países de los Balcanes, por donde transita la mayoría de los refugiados, si Alemania cerrara su frontera con Austria. Frente a los llamamientos que le exigen tomar acciones drásticas ante la ola de refugiados que entran en Alemania, Merkel los rechazó de nuevo. Ya hay tensiones en los países de los Balcanes occidentales y «no quiero que lleguemos a enfrentamientos militares allá», declaró el lunes por la noche la canciller en una reunión de su formación CDU en Darmstadt (oeste), según relata el martes la prensa alemana. 
Acnur critica trato de Europa hacia refugiados tras atentados - teleSUR TV	https://www.telesurtv.net/news/Acnur-critica-trato-de-Europa-hacia-refugiados-tras-atentados-20151118-0031.html	2015-11-18	Acnur critica trato de Europa hacia refugiados tras atentados	¿Consideras que se haga justicia en el caso cuando falta saber quiénes son los autores intelectuales del crimen?. Su portavoz, Melissa Fleming, advirtió este miércoles sobre los riesgos del lenguaje que demoniza a los refugiados, pues contribuye con la xenofobia y el miedo. Tras los ataques terroristas del autodenominado Estado Islámico (EI), los refugiados sirios temen ser víctimas de agresiones en su contra en venganza. 
Conozca dónde duermen los niños refugiados | Noticias - teleSUR TV	https://www.telesurtv.net/news/Conozca-donde-duermen-los-ninos-refugiados-20151120-0055.html	2015-11-21	Conozca dónde duermen los niños refugiadosNoticias	Ingresa o Regístrate para poder comentar, usar el foro y más 
En Croacia, un grupo de cocina para integrar a los migrantes - elestimulo.com	https://elestimulo.com/bienmesabe/en-croacia-un-grupo-de-cocina-para-integrar-a-los-migrantes/	2015-12-07	En Croacia, un grupo de cocina para integrar a los migrantes	Los tres son cocineros, y preparan panes que les recuerdan a sus respectivos países. Algunos han decidido quedarse en Croacia, donde «Okus Doma» los acoge, seas cuales sean las razones por las que llegaron a este país recientemente integrado en la Unión Europea. Desde entonces, Sara se fue a Europa occidental, pero la conversación, entre otras, inspiró la creación de Okus Doma. 
¿A qué se enfrenta el migrante? - teleSUR TV	https://www.telesurtv.net/telesuragenda/A-que-se-enfrenta-el-migrante-20151217-0059.html	2015-12-17	¿A qué se enfrenta el migrante?	Este país ve como objetos y mano de obra barata a los millones de personas que se van hacinando en las áreas marginales. Lea aquí Muerte de migrantes: Vergüenza para la humanidad Se les ve aglomerados en los pasos fronterizos, duermen a la intemperie, se montan en las rejas y vallas que impiden su paso. Muchos no corren con suerte y mueren durante el trayecto. 
Los Balcanes, ruta de entrada de los refugiados a Europa - teleSUR TV	https://www.telesurtv.net/news/Los-Balcanes-ruta-de-entrada-de-los-refugiados-a-Europa-20151218-0017.html	2015-12-18	Los Balcanes, ruta de entrada de los refugiados a Europa	¿Consideras que se haga justicia en el caso cuando falta saber quiénes son los autores intelectuales del crimen?. Aquí → 4 mil personas rescatadas en el mar Mediterráneo en tres días La ruta a través de los países balcánicos hacia el norte de Europa es considerada menos peligrosa por los refugiados que una travesía en barco a Italia desde Libia. ACNUR ha condenado la postura de algunos países como Hungría, donde el Gobierno decidió levantar vallas en su frontera con Serbia para cerrar el paso a los refugiados. 
EE.UU.: Miles de refugiados pasarán navidad en celdas frías - teleSUR TV	https://www.telesurtv.net/news/EE.UU.-Miles-de-refugiados-pasaran-navidad-en-celdas-frias-20151224-0004.html	2015-12-24	EE.UU.: Miles de refugiados pasarán navidad en celdas frías	"¿Consideras que se haga justicia en el caso cuando falta saber quiénes son los autores intelectuales del crimen?. Vea aquí→ Niños migrantes usan flotadores en travesía por el Mediterráneo Según el representante del proyecto CARA, Ian Philabaum, no saben ""si tendrán celebración o si no les harán nada. #Mexico deporta a más migrantes que Estados Unidos: @padreolalinde https://t.co/4KX0Ecmdrl @diazpol @yeidckol @3_0Cesar @rolandoteleSUR — Aissa García García (@AissateleSUR) diciembre 16, 2015 Ingresa o Regístrate para poder comentar, usar el foro y más "
Papa invitó a 2.000 indigentes, refugiados y gitanos al circo - elestimulo.com	https://elestimulo.com/papa-invito-a-2-000-indigentes-refugiados-y-gitanos-al-circo/	2016-01-14	Papa invitó a 2.000 indigentes, refugiados y gitanos al circo	Necesitamos belleza», comentó Francisco el año pasado al recibir para una audiencia especial a los artistas de circo. La tarde al circo debería servir como «alivio a nuestros hermanos más pobres para que puedan superar las pruebas y dificultades de la vida que a menudo nos parecen insuperables», explicó en un comunicado la oficina del Vaticano responsable de las obras de caridad del papa. Un servicio médico móvil fue instalado en frente de la enorme carpa para atender consultas y un refrigerio fue ofrecido al final del espectáculo. 
La esquizofrenia, enfermedad del refugiado, según estudio - elestimulo.com	https://elestimulo.com/bienmesabe/la-esquizofrenia-enfermedad-del-refugiado-segun-estudio/	2016-03-17	La esquizofrenia, enfermedad del refugiado, según estudio	El estudio fue realizado por el Instituto Karolinska de Estocolmo y el University College London (UCL) durante 13 años entre 1,3 millones de adolescentes nacidos en 1984 que figuran en el registro nacional sueco. Expuestos a las persecuciones, a la guerra y a las catástrofes naturales, «los refugiados son de manera notable un grupo vulnerable, (pues) están confrontados a muchos desafíos económicos, físicos y mentales», reitera James Kirkbride, del departamento de psiquiatría del UCL. La esquizofrenia es una perturbación mental severa que se manifiesta por la pérdida de contacto con la realidad y aparece generalmente en la adolescencia o al inicio de la edad adulta. 
