title	link	source	date	title_corrected
Más del 50% de la población en Uruguay está completamente vacunada contra el covid-19; vuelven espectáculos públicos y fiestas - CNN	https://news.google.com/__i/rss/rd/articles/CBMiXGh0dHBzOi8vY25uZXNwYW5vbC5jbm4uY29tLzIwMjEvMDcvMDUvdXJ1Z3VheS1lc3BlY3RhY3Vsb3MtZmllc3Rhcy12YWN1bmFjaW9uLWNvdmlkLTE5LW9yaXgv0gFgaHR0cHM6Ly9jbm5lc3Bhbm9sLmNubi5jb20vMjAyMS8wNy8wNS91cnVndWF5LWVzcGVjdGFjdWxvcy1maWVzdGFzLXZhY3VuYWNpb24tY292aWQtMTktb3JpeC9hbXAv?oc=5	CNN	2021-07-05	Más del 50% de la población en Uruguay está completamente vacunada contra el covid-19; vuelven espectáculos públicos y fiestas
La rebeldía de Uruguay tensa al máximo Mercosur - EL PAÍS	https://news.google.com/__i/rss/rd/articles/CBMiW2h0dHBzOi8vZWxwYWlzLmNvbS9lY29ub21pYS8yMDIxLTA3LTA4L2xhLXJlYmVsZGlhLWRlLXVydWd1YXktdGVuc2EtYWwtbWF4aW1vLW1lcmNvc3VyLmh0bWzSAWpodHRwczovL2VscGFpcy5jb20vZWNvbm9taWEvMjAyMS0wNy0wOC9sYS1yZWJlbGRpYS1kZS11cnVndWF5LXRlbnNhLWFsLW1heGltby1tZXJjb3N1ci5odG1sP291dHB1dFR5cGU9YW1w?oc=5	EL PAÍS	2021-07-08	La rebeldía de Uruguay tensa al máximo Mercosur
El ‘Cáliz de Florida’: la enorme y misteriosa plantación de eucalipto que reina sobre Uruguay - La Vanguardia	https://news.google.com/__i/rss/rd/articles/CBMihQFodHRwczovL3d3dy5sYXZhbmd1YXJkaWEuY29tL2NyaWJlby9lc3RpbG8tZGUtdmlkYS8yMDIxMDcxNS83NjAzMDM3L2NhbGl6LWZsb3JpZGEtZW5vcm1lLW1pc3Rlcmlvc2EtcGxhbnRhY2lvbi1ldWNhbGlwdG8tdXJ1Z3VheS5odG1s0gGJAWh0dHBzOi8vd3d3LmxhdmFuZ3VhcmRpYS5jb20vY3JpYmVvL2VzdGlsby1kZS12aWRhLzIwMjEwNzE1Lzc2MDMwMzcvY2FsaXotZmxvcmlkYS1lbm9ybWUtbWlzdGVyaW9zYS1wbGFudGFjaW9uLWV1Y2FsaXB0by11cnVndWF5LmFtcC5odG1s?oc=5	La Vanguardia	2021-07-15	El ‘Cáliz de Florida’: la enorme y misteriosa plantación de eucalipto que reina sobre Uruguay
Cetraro y Klüver sextos en peso ligero, mejor resultado de Uruguay desde 2000 - Agencia EFE	https://news.google.com/__i/rss/rd/articles/CBMiggFodHRwczovL3d3dy5lZmUuY29tL2VmZS9lc3BhbmEvZGVwb3J0ZXMvY2V0cmFyby15LWtsdXZlci1zZXh0b3MtZW4tcGVzby1saWdlcm8tbWVqb3ItcmVzdWx0YWRvLWRlLXVydWd1YXktZGVzZGUtMjAwMC8xMDAwNi00NTk3MzY30gEA?oc=5	Agencia EFE	2021-07-29	Cetraro y Klüver sextos en peso ligero, mejor resultado de Uruguay desde 2000
FIFA intimó a marca que viste a Uruguay a quitar del escudo las dos estrellas de los JJ.OO. - Ovación	https://news.google.com/__i/rss/rd/articles/CBMia2h0dHBzOi8vd3d3Lm92YWNpb25kaWdpdGFsLmNvbS51eS9mdXRib2wvZmlmYS1pbnRpbW8tbWFyY2EtdmlzdGUtdXJ1Z3VheS1xdWl0YXItZXNjdWRvLWVzdHJlbGxhcy1qai1vby5odG1s0gEA?oc=5	Ovación	2021-08-03	FIFA intimó a marca que viste a Uruguay a quitar del escudo las dos estrellas de los JJ.OO.
Fronteras: más ingresos al país, apertura a Chile y Uruguay y el “cupo especial” que administrará el Gobierno - LA NACION	https://news.google.com/__i/rss/rd/articles/CBMijgFodHRwczovL3d3dy5sYW5hY2lvbi5jb20uYXIvc29jaWVkYWQvZnJvbnRlcmFzLXN1YmEtZGUtaW5ncmVzb3MtYXBlcnR1cmEtYS1jaGlsZS15LXVydWd1YXkteS1lbC1jdXBvLWVzcGVjaWFsLXF1ZS1hZG1pbmlzdHJhcmEtZWwtbmlkMDYwODIwMjEv0gGdAWh0dHBzOi8vd3d3LmxhbmFjaW9uLmNvbS5hci9zb2NpZWRhZC9mcm9udGVyYXMtc3ViYS1kZS1pbmdyZXNvcy1hcGVydHVyYS1hLWNoaWxlLXktdXJ1Z3VheS15LWVsLWN1cG8tZXNwZWNpYWwtcXVlLWFkbWluaXN0cmFyYS1lbC1uaWQwNjA4MjAyMS8_b3V0cHV0VHlwZT1hbXA?oc=5	LA NACION	2021-08-07	Fronteras: más ingresos al país, apertura a Chile y Uruguay y el “cupo especial” que administrará el Gobierno
Segunda ola: por qué crecen los argentinos que compran propiedades en Uruguay, qué buscan - LA NACION	https://news.google.com/__i/rss/rd/articles/CBMigwFodHRwczovL3d3dy5sYW5hY2lvbi5jb20uYXIvcHJvcGllZGFkZXMvaW52ZXJzaW9uZXMvc2VndW5kYS1vbGEtY3JlY2UtZWwtaW50ZXJlcy1kZS1hcmdlbnRpbm9zLXF1ZS1jb21wcmFuLXByb3BpZWRhZGVzLW5pZDExMDgyMDIxL9IBkgFodHRwczovL3d3dy5sYW5hY2lvbi5jb20uYXIvcHJvcGllZGFkZXMvaW52ZXJzaW9uZXMvc2VndW5kYS1vbGEtY3JlY2UtZWwtaW50ZXJlcy1kZS1hcmdlbnRpbm9zLXF1ZS1jb21wcmFuLXByb3BpZWRhZGVzLW5pZDExMDgyMDIxLz9vdXRwdXRUeXBlPWFtcA?oc=5	LA NACION	2021-08-11	Segunda ola: por qué crecen los argentinos que compran propiedades en Uruguay, qué buscan
Álvaro Navia se mudó a Uruguay para cambiar de vida y terminó en un escándalo: lo acusan de “traidor” - LA NACION	https://news.google.com/__i/rss/rd/articles/CBMimAFodHRwczovL3d3dy5sYW5hY2lvbi5jb20uYXIvZXNwZWN0YWN1bG9zL2FsdmFyby1uYXZpYS1zZS1tdWRvLWEtdXJ1Z3VheS1wYXJhLWNhbWJpYXItZGUtdmlkYS15LXRlcm1pbm8tZW4tdW4tZXNjYW5kYWxvLWxvLWFjdXNhbi1kZS10cmFpZG9yLW5pZDEyMDgyMDIxL9IBpwFodHRwczovL3d3dy5sYW5hY2lvbi5jb20uYXIvZXNwZWN0YWN1bG9zL2FsdmFyby1uYXZpYS1zZS1tdWRvLWEtdXJ1Z3VheS1wYXJhLWNhbWJpYXItZGUtdmlkYS15LXRlcm1pbm8tZW4tdW4tZXNjYW5kYWxvLWxvLWFjdXNhbi1kZS10cmFpZG9yLW5pZDEyMDgyMDIxLz9vdXRwdXRUeXBlPWFtcA?oc=5	LA NACION	2021-08-13	Álvaro Navia se mudó a Uruguay para cambiar de vida y terminó en un escándalo: lo acusan de “traidor”
Uruguay, un país donde pasan cosas - infobae	https://news.google.com/__i/rss/rd/articles/CBMiVWh0dHBzOi8vd3d3LmluZm9iYWUuY29tL2FtZXJpY2Evb3Bpbmlvbi8yMDIxLzA4LzE0L3VydWd1YXktdW4tcGFpcy1kb25kZS1wYXNhbi1jb3Nhcy_SAWlodHRwczovL3d3dy5pbmZvYmFlLmNvbS9hbWVyaWNhL29waW5pb24vMjAyMS8wOC8xNC91cnVndWF5LXVuLXBhaXMtZG9uZGUtcGFzYW4tY29zYXMvP291dHB1dFR5cGU9YW1wLXR5cGU?oc=5	infobae	2021-08-14	Uruguay, un país donde pasan cosas
Uruguay comenzó a vacunar a su población con una tercera dosis de refuerzo - infobae	https://news.google.com/__i/rss/rd/articles/CBMihQFodHRwczovL3d3dy5pbmZvYmFlLmNvbS9hbWVyaWNhL2FtZXJpY2EtbGF0aW5hLzIwMjEvMDgvMTcvdXJ1Z3VheS1jb21lbnpvLWEtdmFjdW5hci1hLXN1LXBvYmxhY2lvbi1jb24tdW5hLXRlcmNlcmEtZG9zaXMtZGUtcmVmdWVyem8v0gGZAWh0dHBzOi8vd3d3LmluZm9iYWUuY29tL2FtZXJpY2EvYW1lcmljYS1sYXRpbmEvMjAyMS8wOC8xNy91cnVndWF5LWNvbWVuem8tYS12YWN1bmFyLWEtc3UtcG9ibGFjaW9uLWNvbi11bmEtdGVyY2VyYS1kb3Npcy1kZS1yZWZ1ZXJ6by8_b3V0cHV0VHlwZT1hbXAtdHlwZQ?oc=5	infobae	2021-08-17	Uruguay comenzó a vacunar a su población con una tercera dosis de refuerzo
Los eventos de la embajada de Uruguay en Argentina para celebrar el 196 aniversario de su independencia - infobae	https://news.google.com/__i/rss/rd/articles/CBMiogFodHRwczovL3d3dy5pbmZvYmFlLmNvbS9hbWVyaWNhL2FtZXJpY2EtbGF0aW5hLzIwMjEvMDgvMTcvbG9zLWV2ZW50b3MtZGUtbGEtZW1iYWphZGEtZGUtdXJ1Z3VheS1lbi1hcmdlbnRpbmEtcGFyYS1jZWxlYnJhci1lbC0xOTYtYW5pdmVyc2FyaW8tZGUtc3UtaW5kZXBlbmRlbmNpYS_SAbYBaHR0cHM6Ly93d3cuaW5mb2JhZS5jb20vYW1lcmljYS9hbWVyaWNhLWxhdGluYS8yMDIxLzA4LzE3L2xvcy1ldmVudG9zLWRlLWxhLWVtYmFqYWRhLWRlLXVydWd1YXktZW4tYXJnZW50aW5hLXBhcmEtY2VsZWJyYXItZWwtMTk2LWFuaXZlcnNhcmlvLWRlLXN1LWluZGVwZW5kZW5jaWEvP291dHB1dFR5cGU9YW1wLXR5cGU?oc=5	infobae	2021-08-17	Los eventos de la embajada de Uruguay en Argentina para celebrar el 196 aniversario de su independencia
"El descargo de Silvia Süller tras separarse de su novio uruguayo: ""¡Un año de mentiras!"" - Diario EL PAIS Uruguay"	https://news.google.com/__i/rss/rd/articles/CBMibmh0dHBzOi8vd3d3LmVscGFpcy5jb20udXkvdHZzaG93L3BlcnNvbmFqZXMvZGVzY2FyZ28tc2lsdmlhLXN1ZWxsZXItc2VwYXJhcnNlLW5vdmlvLXVydWd1YXlvLWFuby1tZW50aXJhcy5odG1s0gFyaHR0cHM6Ly93d3cuZWxwYWlzLmNvbS51eS9hbXAvdHZzaG93L3BlcnNvbmFqZXMvZGVzY2FyZ28tc2lsdmlhLXN1ZWxsZXItc2VwYXJhcnNlLW5vdmlvLXVydWd1YXlvLWFuby1tZW50aXJhcy5odG1s?oc=5	Diario EL PAIS Uruguay	2021-08-17	"El descargo de Silvia Süller tras separarse de su novio uruguayo: ""¡Un año de mentiras!"""
¡Por la hazaña! Sporting Cristal llegó a Uruguay para enfrentar a Peñarol por la Copa Sudamericana - RPP Noticias	https://news.google.com/__i/rss/rd/articles/CBMiigFodHRwczovL3JwcC5wZS9mdXRib2wvY29wYS1zdWRhbWVyaWNhbmEvc3BvcnRpbmctY3Jpc3RhbC1sbGVnby1hLXVydWd1YXktcGFyYS1lbmZyZW50YXItYS1wZW5hcm9sLXBvci1sYS1jb3BhLXN1ZGFtZXJpY2FuYS1ub3RpY2lhLTEzNTI5MTTSAY4BaHR0cHM6Ly9hbXAucnBwLnBlL2Z1dGJvbC9jb3BhLXN1ZGFtZXJpY2FuYS9zcG9ydGluZy1jcmlzdGFsLWxsZWdvLWEtdXJ1Z3VheS1wYXJhLWVuZnJlbnRhci1hLXBlbmFyb2wtcG9yLWxhLWNvcGEtc3VkYW1lcmljYW5hLW5vdGljaWEtMTM1MjkxNA?oc=5	RPP Noticias	2021-08-17	¡Por la hazaña! Sporting Cristal llegó a Uruguay para enfrentar a Peñarol por la Copa Sudamericana
Se suspendieron los Sudamericanos, pero la Sub 17 participará de L'Alcudia en España - Ovación	https://news.google.com/__i/rss/rd/articles/CBMiamh0dHBzOi8vd3d3Lm92YWNpb25kaWdpdGFsLmNvbS51eS9zZWxlY2Npb24vc3VzcGVuZGllcm9uLXN1ZGFtZXJpY2Fub3Mtc3ViLXBhcnRpY2lwYXJhLWFsY3VkaWEtZXNwYW5hLmh0bWzSAW5odHRwczovL3d3dy5vdmFjaW9uZGlnaXRhbC5jb20udXkvYW1wL3NlbGVjY2lvbi9zdXNwZW5kaWVyb24tc3VkYW1lcmljYW5vcy1zdWItcGFydGljaXBhcmEtYWxjdWRpYS1lc3BhbmEuaHRtbA?oc=5	Ovación	2021-08-17	Se suspendieron los Sudamericanos, pero la Sub 17 participará de L'Alcudia en España
La Estación Espacial Internacional se podrá ver esta tarde en Uruguay - Montevideo Portal	https://news.google.com/__i/rss/rd/articles/CBMigQFodHRwczovL3d3dy5tb250ZXZpZGVvLmNvbS51eS9DaWVuY2lhLXktVGVjbm9sb2dpYS9MYS1Fc3RhY2lvbi1Fc3BhY2lhbC1JbnRlcm5hY2lvbmFsLXNlLXBvZHJhLXZlci1lc3RhLXRhcmRlLWVuLVVydWd1YXktdWM3OTUzODDSAZwBaHR0cHM6Ly93d3cubW9udGV2aWRlby5jb20udXkvQ2llbmNpYS15LVRlY25vbG9naWEvTGEtRXN0YWNpb24tRXNwYWNpYWwtSW50ZXJuYWNpb25hbC1zZS1wb2RyYS12ZXItZXN0YS10YXJkZS1lbi1VcnVndWF5LXVjNzk1MzgwP3BsYW50aWxsYT0xNjg1JnByb2Nlc289YW1w?oc=5	Montevideo Portal	2021-08-17	La Estación Espacial Internacional se podrá ver esta tarde en Uruguay
Con Leodán, Matonte y Cunha, Uruguay volvió a tomar el liderazgo del arbitraje en Sudamérica - El Observador	https://news.google.com/__i/rss/rd/articles/CBMijAFodHRwczovL3d3dy5lbG9ic2VydmFkb3IuY29tLnV5L25vdGEvY29uLWxlb2Rhbi1tYXRvbnRlLXktY3VuaGEtdXJ1Z3VheS12b2x2aW8tYS10b21hci1lbC1saWRlcmF6Z28tZGVsLWFyYml0cmFqZS1lbi1zdWRhbWVyaWNhLTIwMjE4MTcxNDcxN9IBkAFodHRwczovL3d3dy5lbG9ic2VydmFkb3IuY29tLnV5L25vdGEvY29uLWxlb2Rhbi1tYXRvbnRlLXktY3VuaGEtdXJ1Z3VheS12b2x2aW8tYS10b21hci1lbC1saWRlcmF6Z28tZGVsLWFyYml0cmFqZS1lbi1zdWRhbWVyaWNhLTIwMjE4MTcxNDcxNy9hbXA?oc=5	El Observador	2021-08-17	Con Leodán, Matonte y Cunha, Uruguay volvió a tomar el liderazgo del arbitraje en Sudamérica
Confirmado: Manuel Ugarte y David Terans tendrán su primera convocatoria oficial a la selección de Uruguay - Ovación	https://news.google.com/__i/rss/rd/articles/CBMiigFodHRwczovL3d3dy5vdmFjaW9uZGlnaXRhbC5jb20udXkvZnV0Ym9sL2NvbmZpcm1hZG8tbWFudWVsLXVnYXJ0ZS1kYXZpZC10ZXJhbnMtdGVuZHJhbi1wcmltZXJhLWNvbnZvY2F0b3JpYS1vZmljaWFsLXNlbGVjY2lvbi11cnVndWF5Lmh0bWzSAY4BaHR0cHM6Ly93d3cub3ZhY2lvbmRpZ2l0YWwuY29tLnV5L2FtcC9mdXRib2wvY29uZmlybWFkby1tYW51ZWwtdWdhcnRlLWRhdmlkLXRlcmFucy10ZW5kcmFuLXByaW1lcmEtY29udm9jYXRvcmlhLW9maWNpYWwtc2VsZWNjaW9uLXVydWd1YXkuaHRtbA?oc=5	Ovación	2021-08-17	Confirmado: Manuel Ugarte y David Terans tendrán su primera convocatoria oficial a la selección de Uruguay
Las fotos inéditas de Uruguay en el Mundial de Corea y Japón 2002 - Ovación	https://news.google.com/__i/rss/rd/articles/CBMiWGh0dHBzOi8vd3d3Lm92YWNpb25kaWdpdGFsLmNvbS51eS9mdXRib2wvZm90b3MtaW5lZGl0YXMtdXJ1Z3VheS1tdW5kaWFsLWNvcmVhLWphcG9uLmh0bWzSAVxodHRwczovL3d3dy5vdmFjaW9uZGlnaXRhbC5jb20udXkvYW1wL2Z1dGJvbC9mb3Rvcy1pbmVkaXRhcy11cnVndWF5LW11bmRpYWwtY29yZWEtamFwb24uaHRtbA?oc=5	Ovación	2021-08-17	Las fotos inéditas de Uruguay en el Mundial de Corea y Japón 2002
Uruguay retoma sus conexiones aéreas internacionales para reactivar el turismo - infobae	https://news.google.com/__i/rss/rd/articles/CBMie2h0dHBzOi8vd3d3LmluZm9iYWUuY29tL2Vjb25vbWlhLzIwMjEvMDgvMTcvdXJ1Z3VheS1yZXRvbWEtc3VzLWNvbmV4aW9uZXMtYWVyZWFzLWludGVybmFjaW9uYWxlcy1wYXJhLXJlYWN0aXZhci1lbC10dXJpc21vL9IBjwFodHRwczovL3d3dy5pbmZvYmFlLmNvbS9lY29ub21pYS8yMDIxLzA4LzE3L3VydWd1YXktcmV0b21hLXN1cy1jb25leGlvbmVzLWFlcmVhcy1pbnRlcm5hY2lvbmFsZXMtcGFyYS1yZWFjdGl2YXItZWwtdHVyaXNtby8_b3V0cHV0VHlwZT1hbXAtdHlwZQ?oc=5	infobae	2021-08-17	Uruguay retoma sus conexiones aéreas internacionales para reactivar el turismo
