title	link	source	date	title_corrected	migracion
In Jamaica, Obeah Is an Ancient Magic That’s Rarely Discussed—Until Now - AFAR Media	https://news.google.com/__i/rss/rd/articles/CBMiRGh0dHBzOi8vd3d3LmFmYXIuY29tL21hZ2F6aW5lL2xlc3NvbnMtZnJvbS1hLWphbWFpY2FuLW9iZWFoLW1hbnMtc29u0gFIaHR0cHM6Ly93d3cuYWZhci5jb20vbWFnYXppbmUvbGVzc29ucy1mcm9tLWEtamFtYWljYW4tb2JlYWgtbWFucy1zb24vYW1w?oc=5	AFAR Media	2021-04-27	In Jamaica, Obeah Is an Ancient Magic That’s Rarely Discussed—Until Now	0
Jamaica partnership works to promote human rights - UNAIDS	https://news.google.com/__i/rss/rd/articles/CBMiZmh0dHBzOi8vd3d3LnVuYWlkcy5vcmcvZW4vcmVzb3VyY2VzL3ByZXNzY2VudHJlL2ZlYXR1cmVzdG9yaWVzLzIwMjEvanVuZS8yMDIxMDYwN19qYW1haWNhLWh1bWFuLXJpZ2h0c9IBAA?oc=5	UNAIDS	2021-06-07	Jamaica partnership works to promote human rights	0
Fact Check-Jamaica has not banned K-Pop - Reuters	https://news.google.com/__i/rss/rd/articles/CBMiRGh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvZmFjdGNoZWNrLWphbWFpY2Eta3BvcC1pZFVTTDJOMk5RMks10gE0aHR0cHM6Ly9tb2JpbGUucmV1dGVycy5jb20vYXJ0aWNsZS9hbXAvaWRVU0wyTjJOUTJLNQ?oc=5	Reuters	2021-06-08	Fact Check-Jamaica has not banned K-Pop	0
Paul Hall named new Jamaica assistant - QPR official website	https://news.google.com/__i/rss/rd/articles/CBMiS2h0dHBzOi8vd3d3LnFwci5jby51ay9uZXdzL2NsdWItbmV3cy9wYXVsLWhhbGwtbmFtZWQtbmV3LWphbWFpY2EtYXNzaXN0YW50L9IBYWh0dHBzOi8vd3d3LnFwci5jby51ay9uZXdzL2NsdWItbmV3cy9wYXVsLWhhbGwtbmFtZWQtbmV3LWphbWFpY2EtYXNzaXN0YW50Lz9kaXNwbGF5TW9kZT1Hb29nbGVBbXA?oc=5	QPR official website	2021-06-18	Paul Hall named new Jamaica assistant	0
Rastafari Distrust of Western Medicine Contributes to Jamaica Vaccine Hesitancy - U.S. News & World Report	https://news.google.com/__i/rss/rd/articles/CBMiemh0dHBzOi8vd3d3LnVzbmV3cy5jb20vbmV3cy93b3JsZC9hcnRpY2xlcy8yMDIxLTA2LTI0L3Jhc3RhZmFyaS1zY29ybi1vZi13ZXN0ZXJuLW1lZGljaW5lLWZ1ZWxzLWphbWFpY2FuLXZhY2NpbmUtaGVzaXRhbmN50gGGAWh0dHBzOi8vd3d3LnVzbmV3cy5jb20vbmV3cy93b3JsZC9hcnRpY2xlcy8yMDIxLTA2LTI0L3Jhc3RhZmFyaS1zY29ybi1vZi13ZXN0ZXJuLW1lZGljaW5lLWZ1ZWxzLWphbWFpY2FuLXZhY2NpbmUtaGVzaXRhbmN5P2NvbnRleHQ9YW1w?oc=5	U.S. News & World Report	2021-06-24	Rastafari Distrust of Western Medicine Contributes to Jamaica Vaccine Hesitancy	0
The SMC Group and EMCVPA Partner to Boost Jamaica's Creative Industries - Business Wire	https://news.google.com/__i/rss/rd/articles/CBMiiAFodHRwczovL3d3dy5idXNpbmVzc3dpcmUuY29tL25ld3MvaG9tZS8yMDIxMDYzMDAwNTI3MS9lbi9UaGUtU01DLUdyb3VwLWFuZC1FTUNWUEEtUGFydG5lci10by1Cb29zdC1KYW1haWNhJUUyJTgwJTk5cy1DcmVhdGl2ZS1JbmR1c3RyaWVz0gEA?oc=5	Business Wire	2021-06-30	The SMC Group and EMCVPA Partner to Boost Jamaica's Creative Industries	0
DJ To Represent Jamaica In Gold Cup - News - PNEFC	https://news.google.com/__i/rss/rd/articles/CBMiSWh0dHBzOi8vd3d3LnBuZWZjLm5ldC9uZXdzLzIwMjEvanVseS9kai10by1yZXByZXNlbnQtamFtYWljYS1pbi1nb2xkLWN1cC_SAQA?oc=5	PNEFC	2021-07-02	DJ To Represent Jamaica In Gold CupNews	0
Sislin Fay Allen: Britain's first black policewoman dies in Jamaica - Sky News	https://news.google.com/__i/rss/rd/articles/CBMiZWh0dHBzOi8vbmV3cy5za3kuY29tL3N0b3J5L3Npc2xpbi1mYXktYWxsZW4tYnJpdGFpbnMtZmlyc3QtYmxhY2stcG9saWNld29tYW4tZGllcy1pbi1qYW1haWNhLTEyMzQ5NTQx0gFpaHR0cHM6Ly9uZXdzLnNreS5jb20vc3RvcnkvYW1wL3Npc2xpbi1mYXktYWxsZW4tYnJpdGFpbnMtZmlyc3QtYmxhY2stcG9saWNld29tYW4tZGllcy1pbi1qYW1haWNhLTEyMzQ5NTQx?oc=5	Sky News	2021-07-05	Sislin Fay Allen: Britain's first black policewoman dies in Jamaica	0
Jamaica Plans to Seek Reparations From Britain Over Slavery - U.S. News & World Report	https://news.google.com/__i/rss/rd/articles/CBMicWh0dHBzOi8vd3d3LnVzbmV3cy5jb20vbmV3cy93b3JsZC9hcnRpY2xlcy8yMDIxLTA3LTEyL2phbWFpY2EtcGxhbnMtdG8tc2Vlay1yZXBhcmF0aW9ucy1mcm9tLWJyaXRhaW4tb3Zlci1zbGF2ZXJ50gF9aHR0cHM6Ly93d3cudXNuZXdzLmNvbS9uZXdzL3dvcmxkL2FydGljbGVzLzIwMjEtMDctMTIvamFtYWljYS1wbGFucy10by1zZWVrLXJlcGFyYXRpb25zLWZyb20tYnJpdGFpbi1vdmVyLXNsYXZlcnk_Y29udGV4dD1hbXA?oc=5	U.S. News & World Report	2021-07-12	Jamaica Plans to Seek Reparations From Britain Over Slavery	0
DJ Plays 90 Minutes In Jamaica Victory - News - PNEFC	https://news.google.com/__i/rss/rd/articles/CBMiTGh0dHBzOi8vd3d3LnBuZWZjLm5ldC9uZXdzLzIwMjEvanVseS9kai1wbGF5cy05MC1taW51dGVzLWluLWphbWFpY2EtdmljdG9yeS_SAQA?oc=5	PNEFC	2021-07-13	DJ Plays 90 Minutes In Jamaica VictoryNews	0
