title	link	source	date	title_corrected	migracion
1 dode nadat bromfietsers frontaal op elkaar botsen - Waterkant	https://news.google.com/__i/rss/rd/articles/CBMiYmh0dHBzOi8vd3d3LndhdGVya2FudC5uZXQvc3VyaW5hbWUvMjAyMS8wOC8xNy8xLWRvZGUtbmFkYXQtYnJvbWZpZXRzZXJzLWZyb250YWFsLW9wLWVsa2Fhci1ib3RzZW4v0gFmaHR0cHM6Ly93d3cud2F0ZXJrYW50Lm5ldC9zdXJpbmFtZS8yMDIxLzA4LzE3LzEtZG9kZS1uYWRhdC1icm9tZmlldHNlcnMtZnJvbnRhYWwtb3AtZWxrYWFyLWJvdHNlbi8_YW1w?oc=5	Waterkant	2021-08-16	1 dode nadat bromfietsers frontaal op elkaar botsen	0
60-jarige Inheemse vrouw dood binnengebracht op politiebureau - Waterkant	https://news.google.com/__i/rss/rd/articles/CBMibGh0dHBzOi8vd3d3LndhdGVya2FudC5uZXQvc3VyaW5hbWUvMjAyMS8wOC8xNi82MC1qYXJpZ2UtaW5oZWVtc2UtdnJvdXctZG9vZC1iaW5uZW5nZWJyYWNodC1vcC1wb2xpdGllYnVyZWF1L9IBcGh0dHBzOi8vd3d3LndhdGVya2FudC5uZXQvc3VyaW5hbWUvMjAyMS8wOC8xNi82MC1qYXJpZ2UtaW5oZWVtc2UtdnJvdXctZG9vZC1iaW5uZW5nZWJyYWNodC1vcC1wb2xpdGllYnVyZWF1Lz9hbXA?oc=5	Waterkant	2021-08-16	60-jarige Inheemse vrouw dood binnengebracht op politiebureau	0
Racende autobestuurster rijdt schutting kapot en raakt gewond - Waterkant	https://news.google.com/__i/rss/rd/articles/CBMibGh0dHBzOi8vd3d3LndhdGVya2FudC5uZXQvc3VyaW5hbWUvMjAyMS8wOC8xNi9yYWNlbmRlLWF1dG9iZXN0dXVyc3Rlci1yaWpkdC1zY2h1dHRpbmcta2Fwb3QtZW4tcmFha3QtZ2V3b25kL9IBcGh0dHBzOi8vd3d3LndhdGVya2FudC5uZXQvc3VyaW5hbWUvMjAyMS8wOC8xNi9yYWNlbmRlLWF1dG9iZXN0dXVyc3Rlci1yaWpkdC1zY2h1dHRpbmcta2Fwb3QtZW4tcmFha3QtZ2V3b25kLz9hbXA?oc=5	Waterkant	2021-08-16	Racende autobestuurster rijdt schutting kapot en raakt gewond	0
Braziliaans marineschip was paar dagen in Suriname - Dagblad Suriname	https://news.google.com/__i/rss/rd/articles/CBMiWWh0dHBzOi8vd3d3LmRic3VyaW5hbWUuY29tLzIwMjEvMDgvMTcvYnJhemlsaWFhbnMtbWFyaW5lc2NoaXAtd2FzLXBhYXItZGFnZW4taW4tc3VyaW5hbWUv0gEA?oc=5	Dagblad Suriname	2021-08-17	Braziliaans marineschip was paar dagen in Suriname	0
Geestesgestoorde vernielt prowagen Rijsdijk met houwer - Waterkant	https://news.google.com/__i/rss/rd/articles/CBMiZWh0dHBzOi8vd3d3LndhdGVya2FudC5uZXQvc3VyaW5hbWUvMjAyMS8wOC8xNy9nZWVzdGVzZ2VzdG9vcmRlLXZlcm5pZWx0LXByb3dhZ2VuLXJpanNkaWprLW1ldC1ob3V3ZXIv0gFpaHR0cHM6Ly93d3cud2F0ZXJrYW50Lm5ldC9zdXJpbmFtZS8yMDIxLzA4LzE3L2dlZXN0ZXNnZXN0b29yZGUtdmVybmllbHQtcHJvd2FnZW4tcmlqc2RpamstbWV0LWhvdXdlci8_YW1w?oc=5	Waterkant	2021-08-17	Geestesgestoorde vernielt prowagen Rijsdijk met houwer	0
Radj Oedit moet 16 jaar celstraf uitzitten - Waterkant	https://news.google.com/__i/rss/rd/articles/CBMiWWh0dHBzOi8vd3d3LndhdGVya2FudC5uZXQvc3VyaW5hbWUvMjAyMS8wOC8xNy9yYWRqLW9lZGl0LW1vZXQtMTYtamFhci1jZWxzdHJhZi11aXR6aXR0ZW4v0gFdaHR0cHM6Ly93d3cud2F0ZXJrYW50Lm5ldC9zdXJpbmFtZS8yMDIxLzA4LzE3L3JhZGotb2VkaXQtbW9ldC0xNi1qYWFyLWNlbHN0cmFmLXVpdHppdHRlbi8_YW1w?oc=5	Waterkant	2021-08-17	Radj Oedit moet 16 jaar celstraf uitzitten	0
VIDEO: Suriname krijgt voorname positie op Dubai Expo - Waterkant	https://news.google.com/__i/rss/rd/articles/CBMiY2h0dHBzOi8vd3d3LndhdGVya2FudC5uZXQvc3VyaW5hbWUvMjAyMS8wOC8xNy92aWRlby1zdXJpbmFtZS1rcmlqZ3Qtdm9vcm5hbWUtcG9zaXRpZS1vcC1kdWJhaS1leHBvL9IBZ2h0dHBzOi8vd3d3LndhdGVya2FudC5uZXQvc3VyaW5hbWUvMjAyMS8wOC8xNy92aWRlby1zdXJpbmFtZS1rcmlqZ3Qtdm9vcm5hbWUtcG9zaXRpZS1vcC1kdWJhaS1leHBvLz9hbXA?oc=5	Waterkant	2021-08-17	VIDEO: Suriname krijgt voorname positie op Dubai Expo	0
‘Braziliaan vermoedelijk om het leven gebracht door straatrovers’ - Waterkant	https://news.google.com/__i/rss/rd/articles/CBMibmh0dHBzOi8vd3d3LndhdGVya2FudC5uZXQvc3VyaW5hbWUvMjAyMS8wOC8xNy9icmF6aWxpYWFuLXZlcm1vZWRlbGlqay1vbS1oZXQtbGV2ZW4tZ2VicmFjaHQtZG9vci1zdHJhYXRyb3ZlcnMv0gFyaHR0cHM6Ly93d3cud2F0ZXJrYW50Lm5ldC9zdXJpbmFtZS8yMDIxLzA4LzE3L2JyYXppbGlhYW4tdmVybW9lZGVsaWprLW9tLWhldC1sZXZlbi1nZWJyYWNodC1kb29yLXN0cmFhdHJvdmVycy8_YW1w?oc=5	Waterkant	2021-08-17	‘Braziliaan vermoedelijk om het leven gebracht door straatrovers’	0
Vrouw dood door verkeersongeval nabij Bosjebrug - Waterkant	https://news.google.com/__i/rss/rd/articles/CBMiXmh0dHBzOi8vd3d3LndhdGVya2FudC5uZXQvc3VyaW5hbWUvMjAyMS8wOC8xNy92cm91dy1kb29kLWRvb3ItdmVya2VlcnNvbmdldmFsLW5hYmlqLWJvc2plYnJ1Zy_SAWJodHRwczovL3d3dy53YXRlcmthbnQubmV0L3N1cmluYW1lLzIwMjEvMDgvMTcvdnJvdXctZG9vZC1kb29yLXZlcmtlZXJzb25nZXZhbC1uYWJpai1ib3NqZWJydWcvP2FtcA?oc=5	Waterkant	2021-08-17	Vrouw dood door verkeersongeval nabij Bosjebrug	0
Lijk van vrouw uit goot te Uitvlugt gehaald - Waterkant	https://news.google.com/__i/rss/rd/articles/CBMiWmh0dHBzOi8vd3d3LndhdGVya2FudC5uZXQvc3VyaW5hbWUvMjAyMS8wOC8xNy9saWprLXZhbi12cm91dy11aXQtZ29vdC10ZS11aXR2bHVndC1nZWhhYWxkL9IBXmh0dHBzOi8vd3d3LndhdGVya2FudC5uZXQvc3VyaW5hbWUvMjAyMS8wOC8xNy9saWprLXZhbi12cm91dy11aXQtZ29vdC10ZS11aXR2bHVndC1nZWhhYWxkLz9hbXA?oc=5	Waterkant	2021-08-17	Lijk van vrouw uit goot te Uitvlugt gehaald	0
22-jarige man aangehouden voor doodsteken tiener (17) op feest - Waterkant	https://news.google.com/__i/rss/rd/articles/CBMia2h0dHBzOi8vd3d3LndhdGVya2FudC5uZXQvc3VyaW5hbWUvMjAyMS8wOC8xNy8yMi1qYXJpZ2UtbWFuLWFhbmdlaG91ZGVuLXZvb3ItZG9vZHN0ZWtlbi10aWVuZXItMTctb3AtZmVlc3Qv0gFvaHR0cHM6Ly93d3cud2F0ZXJrYW50Lm5ldC9zdXJpbmFtZS8yMDIxLzA4LzE3LzIyLWphcmlnZS1tYW4tYWFuZ2Vob3VkZW4tdm9vci1kb29kc3Rla2VuLXRpZW5lci0xNy1vcC1mZWVzdC8_YW1w?oc=5	Waterkant	2021-08-17	22-jarige man aangehouden voor doodsteken tiener (17) op feest	0
Man op klaarlichte dag ontvoerd in centrum Paramaribo - Waterkant	https://news.google.com/__i/rss/rd/articles/CBMiZGh0dHBzOi8vd3d3LndhdGVya2FudC5uZXQvc3VyaW5hbWUvMjAyMS8wOC8xNy9tYW4tb3Ata2xhYXJsaWNodGUtZGFnLW9udHZvZXJkLWluLWNlbnRydW0tcGFyYW1hcmliby_SAWhodHRwczovL3d3dy53YXRlcmthbnQubmV0L3N1cmluYW1lLzIwMjEvMDgvMTcvbWFuLW9wLWtsYWFybGljaHRlLWRhZy1vbnR2b2VyZC1pbi1jZW50cnVtLXBhcmFtYXJpYm8vP2FtcA?oc=5	Waterkant	2021-08-17	Man op klaarlichte dag ontvoerd in centrum Paramaribo	0
Strategic Recruitment Suriname aanwezig op belangrijke Offshore Oil & Gas conferentie - Waterkant	https://news.google.com/__i/rss/rd/articles/CBMiggFodHRwczovL3d3dy53YXRlcmthbnQubmV0L3N1cmluYW1lLzIwMjEvMDgvMTcvc3RyYXRlZ2ljLXJlY3J1aXRtZW50LXN1cmluYW1lLWFhbndlemlnLW9wLWJlbGFuZ3JpamtlLW9mZnNob3JlLW9pbC1nYXMtY29uZmVyZW50aWUv0gGGAWh0dHBzOi8vd3d3LndhdGVya2FudC5uZXQvc3VyaW5hbWUvMjAyMS8wOC8xNy9zdHJhdGVnaWMtcmVjcnVpdG1lbnQtc3VyaW5hbWUtYWFud2V6aWctb3AtYmVsYW5ncmlqa2Utb2Zmc2hvcmUtb2lsLWdhcy1jb25mZXJlbnRpZS8_YW1w?oc=5	Waterkant	2021-08-17	Strategic Recruitment Suriname aanwezig op belangrijke Offshore Oil & Gas conferentie	0
