title	link	source	date	title_corrected	migracion
Beca para uniformes y útiles: ¿Cuándo y de cuánto será el pago para el regreso a clases? - Noticieros Televisa	https://news.google.com/__i/rss/rd/articles/CBMieGh0dHBzOi8vd3d3LnRlbGV2aXNhLmNvbS9ub3RpY2lhcy9iZWNhLXBhcmEtdW5pZm9ybWVzLXktdXRpbGVzLWN1YW5kby15LWRlLWN1YW50by1zZXJhLWVsLXBhZ28tcGFyYS1lbC1yZWdyZXNvLWEtY2xhc2VzL9IBfGh0dHBzOi8vd3d3LnRlbGV2aXNhLmNvbS9ub3RpY2lhcy9iZWNhLXBhcmEtdW5pZm9ybWVzLXktdXRpbGVzLWN1YW5kby15LWRlLWN1YW50by1zZXJhLWVsLXBhZ28tcGFyYS1lbC1yZWdyZXNvLWEtY2xhc2VzL2FtcC8?oc=5	Noticieros Televisa	2021-08-16	Beca para uniformes y útiles: ¿Cuándo y de cuánto será el pago para el regreso a clases?	0
En Michoacán, hombre roba traje de José María Morelos; se lo pone y huye corriendo - Milenio	https://news.google.com/__i/rss/rd/articles/CBMiV2h0dHBzOi8vd3d3Lm1pbGVuaW8uY29tL2VzdGFkb3MvYXBhdHppbmdhbi1ob21icmUtZXh0cmFlLXRyYWplLWpvc2UtbWFyaWEtbW9yZWxvcy1tdXNlb9IBV2h0dHBzOi8vYW1wLm1pbGVuaW8uY29tL2VzdGFkb3MvYXBhdHppbmdhbi1ob21icmUtZXh0cmFlLXRyYWplLWpvc2UtbWFyaWEtbW9yZWxvcy1tdXNlbw?oc=5	Milenio	2021-08-16	En Michoacán, hombre roba traje de José María Morelos; se lo pone y huye corriendo	0
Infonavit: Así puedes comprar una casa a bajo precio - Noticieros Televisa	https://news.google.com/__i/rss/rd/articles/CBMiVmh0dHBzOi8vd3d3LnRlbGV2aXNhLmNvbS9ub3RpY2lhcy9pbmZvbmF2aXQtYXNpLXB1ZWRlcy1jb21wcmFyLXVuYS1jYXNhLWEtYmFqby1wcmVjaW8v0gFaaHR0cHM6Ly93d3cudGVsZXZpc2EuY29tL25vdGljaWFzL2luZm9uYXZpdC1hc2ktcHVlZGVzLWNvbXByYXItdW5hLWNhc2EtYS1iYWpvLXByZWNpby9hbXAv?oc=5	Noticieros Televisa	2021-08-16	Infonavit: Así puedes comprar una casa a bajo precio	0
Vacunación CDMX: ¿Dónde ponerte la segunda dosis de Pfizer y AstraZeneca? - Noticieros Televisa	https://news.google.com/__i/rss/rd/articles/CBMiaWh0dHBzOi8vd3d3LnRlbGV2aXNhLmNvbS9ub3RpY2lhcy92YWN1bmFjaW9uLWNkbXgtZG9uZGUtcG9uZXJ0ZS1sYS1zZWd1bmRhLWRvc2lzLWRlLXBmaXplci15LWFzdHJhemVuZWNhL9IBbWh0dHBzOi8vd3d3LnRlbGV2aXNhLmNvbS9ub3RpY2lhcy92YWN1bmFjaW9uLWNkbXgtZG9uZGUtcG9uZXJ0ZS1sYS1zZWd1bmRhLWRvc2lzLWRlLXBmaXplci15LWFzdHJhemVuZWNhL2FtcC8?oc=5	Noticieros Televisa	2021-08-16	Vacunación CDMX: ¿Dónde ponerte la segunda dosis de Pfizer y AstraZeneca?	0
''Grace'' mantiene rumbo a la Península de Yucatán: piden tomar precauciones - El Diario de Yucatán	https://news.google.com/__i/rss/rd/articles/CBMiUWh0dHBzOi8vd3d3Lnl1Y2F0YW4uY29tLm14L3l1Y2F0YW4vZ3JhY2UtbWFudGllbmUtcnVtYm8tYS1sYS1wZW5pbnN1bGEtZGUteXVjYXRhbtIBVWh0dHBzOi8vd3d3Lnl1Y2F0YW4uY29tLm14L3l1Y2F0YW4vZ3JhY2UtbWFudGllbmUtcnVtYm8tYS1sYS1wZW5pbnN1bGEtZGUteXVjYXRhbi9hbXA?oc=5	El Diario de Yucatán	2021-08-16	''Grace'' mantiene rumbo a la Península de Yucatán: piden tomar precauciones	0
Secretaría de Salud busca regresar a burócratas al ‘home office’ - Milenio	https://news.google.com/__i/rss/rd/articles/CBMiV2h0dHBzOi8vd3d3Lm1pbGVuaW8uY29tL3BvbGl0aWNhL2hvbWUtb2ZmaWNlLXNlY3JldGFyaWEtc2FsdWQtYnVzY2EtcmVncmVzYXItYnVyb2NyYXRhc9IBV2h0dHBzOi8vYW1wLm1pbGVuaW8uY29tL3BvbGl0aWNhL2hvbWUtb2ZmaWNlLXNlY3JldGFyaWEtc2FsdWQtYnVzY2EtcmVncmVzYXItYnVyb2NyYXRhcw?oc=5	Milenio	2021-08-16	Secretaría de Salud busca regresar a burócratas al ‘home office’	0
Desaparecidos en Jalisco: Buscan a cuatro jóvenes de SLP que iban a Tonalá - EL INFORMADOR	https://news.google.com/__i/rss/rd/articles/CBMifmh0dHBzOi8vd3d3LmluZm9ybWFkb3IubXgvamFsaXNjby9EZXNhcGFyZWNpZG9zLWVuLUphbGlzY28tQnVzY2FuLWEtY3VhdHJvLWpvdmVuZXMtZGUtU0xQLXF1ZS1pYmFuLWEtVG9uYWxhLTIwMjEwODE2LTAwNjUuaHRtbNIBggFodHRwczovL3d3dy5pbmZvcm1hZG9yLm14L2FtcC9qYWxpc2NvL0Rlc2FwYXJlY2lkb3MtZW4tSmFsaXNjby1CdXNjYW4tYS1jdWF0cm8tam92ZW5lcy1kZS1TTFAtcXVlLWliYW4tYS1Ub25hbGEtMjAyMTA4MTYtMDA2NS5odG1s?oc=5	EL INFORMADOR	2021-08-16	Desaparecidos en Jalisco: Buscan a cuatro jóvenes de SLP que iban a Tonalá	0
Anaya ‘reta’ a AMLO a hacer consulta popular sobre ingreso básico para mexicanos - El Financiero	https://news.google.com/__i/rss/rd/articles/CBMigwFodHRwczovL3d3dy5lbGZpbmFuY2llcm8uY29tLm14L25hY2lvbmFsLzIwMjEvMDgvMTYvYW5heWEtcmV0YS1hLWFtbG8tYS1udWV2YS1jb25zdWx0YS1wb3B1bGFyLWxhLWRlLWluZ3Jlc28tYmFzaWNvLXBhcmEtbWV4aWNhbm9zL9IBkgFodHRwczovL3d3dy5lbGZpbmFuY2llcm8uY29tLm14L25hY2lvbmFsLzIwMjEvMDgvMTYvYW5heWEtcmV0YS1hLWFtbG8tYS1udWV2YS1jb25zdWx0YS1wb3B1bGFyLWxhLWRlLWluZ3Jlc28tYmFzaWNvLXBhcmEtbWV4aWNhbm9zLz9vdXRwdXRUeXBlPWFtcA?oc=5	El Financiero	2021-08-16	Anaya ‘reta’ a AMLO a hacer consulta popular sobre ingreso básico para mexicanos	0
La actriz Fátima Molina estaba dentro del edificio que explotó en la Benito Juárez - SinEmbargo	https://news.google.com/__i/rss/rd/articles/CBMiLGh0dHBzOi8vd3d3LnNpbmVtYmFyZ28ubXgvMTYtMDgtMjAyMS80MDE1MjIz0gEA?oc=5	SinEmbargo	2021-08-16	La actriz Fátima Molina estaba dentro del edificio que explotó en la Benito Juárez	0
Peatón muere atropellado por auto que invadió carril del Mexibús | El Universal - El Universal	https://news.google.com/__i/rss/rd/articles/CBMiaWh0dHBzOi8vd3d3LmVsdW5pdmVyc2FsLmNvbS5teC9tZXRyb3BvbGkvcGVhdG9uLW11ZXJlLWF0cm9wZWxsYWRvLXBvci1hdXRvLXF1ZS1pbnZhZGlvLWNhcnJpbC1kZWwtbWV4aWJ1c9IBbWh0dHBzOi8vd3d3LmVsdW5pdmVyc2FsLmNvbS5teC9tZXRyb3BvbGkvcGVhdG9uLW11ZXJlLWF0cm9wZWxsYWRvLXBvci1hdXRvLXF1ZS1pbnZhZGlvLWNhcnJpbC1kZWwtbWV4aWJ1cz9hbXA?oc=5	El Universal	2021-08-16	Peatón muere atropellado por auto que invadió carril del Mexibús	0
