title	link	source	date	title_corrected
Chile Transparente y querella contra exdirector de la PDI: “No hay aprendizaje, uno espera que existiera toma de conciencia” tras desfalcos en Carabineros y el Ejército - El Mostrador	https://news.google.com/__i/rss/rd/articles/CBMizQFodHRwczovL20uZWxtb3N0cmFkb3IuY2wvZGlhLzIwMjEvMDgvMTYvY2hpbGUtdHJhbnNwYXJlbnRlLXktcXVlcmVsbGEtY29udHJhLWV4ZGlyZWN0b3ItZGUtbGEtcGRpLW5vLWhheS1hcHJlbmRpemFqZS11bm8tZXNwZXJhLXF1ZS1leGlzdGllcmEtdG9tYS1kZS1jb25jaWVuY2lhLXRyYXMtZGVzZmFsY29zLWVuLWNhcmFiaW5lcm9zLXktZWwtZWplcmNpdG8v0gHRAWh0dHBzOi8vbS5lbG1vc3RyYWRvci5jbC9kaWEvMjAyMS8wOC8xNi9jaGlsZS10cmFuc3BhcmVudGUteS1xdWVyZWxsYS1jb250cmEtZXhkaXJlY3Rvci1kZS1sYS1wZGktbm8taGF5LWFwcmVuZGl6YWplLXVuby1lc3BlcmEtcXVlLWV4aXN0aWVyYS10b21hLWRlLWNvbmNpZW5jaWEtdHJhcy1kZXNmYWxjb3MtZW4tY2FyYWJpbmVyb3MteS1lbC1lamVyY2l0by9hbXAv?oc=5	El Mostrador	2021-08-16	Chile Transparente y querella contra exdirector de la PDI: “No hay aprendizaje, uno espera que existiera toma de conciencia” tras desfalcos en Carabineros y el Ejército
"""Entristece y exaspera"": Amaro Gómez-Pablos criticó duramente las medidas de arribo a Chile - BioBioChile"	https://news.google.com/__i/rss/rd/articles/CBMiemh0dHBzOi8vd3d3LmJpb2Jpb2NoaWxlLmNsL25vdGljaWFzL2VzcGVjdGFjdWxvcy15LXR2L3R2LzIwMjEvMDgvMTUvYW1hcm8tZ29tZXotcGFibG9zLWFlcm9wdWVydG8tbWVkaWRhcy1zYW5pdGFyaWFzLnNodG1s0gF-aHR0cHM6Ly93d3cuYmlvYmlvY2hpbGUuY2wvbm90aWNpYXMvZXNwZWN0YWN1bG9zLXktdHYvdHYvMjAyMS8wOC8xNS9hbXAvYW1hcm8tZ29tZXotcGFibG9zLWFlcm9wdWVydG8tbWVkaWRhcy1zYW5pdGFyaWFzLnNodG1s?oc=5	BioBioChile	2021-08-16	"""Entristece y exaspera"": Amaro Gómez-Pablos criticó duramente las medidas de arribo a Chile"
"La ""conducta homosexual"" ya no es causal admitida para pedir el divorcio - Cooperativa.cl"	https://news.google.com/__i/rss/rd/articles/CBMimAFodHRwczovL2Nvb3BlcmF0aXZhLmNsL25vdGljaWFzL3NvY2llZGFkL21pbm9yaWFzLXNleHVhbGVzL2xhLWNvbmR1Y3RhLWhvbW9zZXh1YWwteWEtbm8tZXMtY2F1c2FsLWFkbWl0aWRhLXBhcmEtcGVkaXItZWwtZGl2b3JjaW8vMjAyMS0wOC0xNi8xODM2NDMuaHRtbNIBVGh0dHBzOi8vd3d3LmNvb3BlcmF0aXZhLmNsL25vdGljaWFzL3NpdGUvYXJ0aWMvMjAyMTA4MTYvcGFncy1hbXAvMjAyMTA4MTYxODM2NDMuaHRtbA?oc=5	Cooperativa.cl	2021-08-16	"La ""conducta homosexual"" ya no es causal admitida para pedir el divorcio"
Daza por brote de Delta en O'Higgins: “Todos los contactos estrechos identificados y casos positivos se encuentran en residencias sanitarias, excepto por cinco de ellos que han sido hospitalizados” - La Tercera	https://news.google.com/__i/rss/rd/articles/CBMi_gFodHRwczovL3d3dy5sYXRlcmNlcmEuY29tL25hY2lvbmFsL25vdGljaWEvZGF6YS1wb3ItYnJvdGUtZGUtZGVsdGEtZW4tb2hpZ2dpbnMtdG9kb3MtbG9zLWNvbnRhY3Rvcy1lc3RyZWNob3MtaWRlbnRpZmljYWRvcy1zZS1lbmN1ZW50cmFuLWFpc2xhZG9zLWVuLXJlc2lkZW5jaWFzLXNhbml0YXJpYXMtZXhjZXB0by1wb3ItY2luY28tZGUtZWxsb3MtcXVlLWhhbi1zaWRvLWhvc3BpdGFsaXphZG9zLzdaV1AzUTY0V1pEM1ZQQ09HQUdSQTY0VVJNL9IBjQJodHRwczovL3d3dy5sYXRlcmNlcmEuY29tL25hY2lvbmFsL25vdGljaWEvZGF6YS1wb3ItYnJvdGUtZGUtZGVsdGEtZW4tb2hpZ2dpbnMtdG9kb3MtbG9zLWNvbnRhY3Rvcy1lc3RyZWNob3MtaWRlbnRpZmljYWRvcy1zZS1lbmN1ZW50cmFuLWFpc2xhZG9zLWVuLXJlc2lkZW5jaWFzLXNhbml0YXJpYXMtZXhjZXB0by1wb3ItY2luY28tZGUtZWxsb3MtcXVlLWhhbi1zaWRvLWhvc3BpdGFsaXphZG9zLzdaV1AzUTY0V1pEM1ZQQ09HQUdSQTY0VVJNLz9vdXRwdXRUeXBlPWFtcA?oc=5	La Tercera	2021-08-16	Daza por brote de Delta en O'Higgins: “Todos los contactos estrechos identificados y casos positivos se encuentran en residencias sanitarias, excepto por cinco de ellos que han sido hospitalizados”
Pulso Ciudadano: Sichel lidera y Kast supera a Provoste en el tercer lugar - El Dínamo	https://news.google.com/__i/rss/rd/articles/CBMiemh0dHBzOi8vd3d3LmVsZGluYW1vLmNsL3BvbGl0aWNhLzIwMjEvMDgvMTYvcHVsc28tY2l1ZGFkYW5vLXNpY2hlbC1saWRlcmEteS1rYXN0LXN1cGVyYS1hLXByb3Zvc3RlLWVuLWVsLXRlcmNlci1sdWdhci9hbXAv0gF6aHR0cHM6Ly93d3cuZWxkaW5hbW8uY2wvcG9saXRpY2EvMjAyMS8wOC8xNi9wdWxzby1jaXVkYWRhbm8tc2ljaGVsLWxpZGVyYS15LWthc3Qtc3VwZXJhLWEtcHJvdm9zdGUtZW4tZWwtdGVyY2VyLWx1Z2FyL2FtcC8?oc=5	El Dínamo	2021-08-16	Pulso Ciudadano: Sichel lidera y Kast supera a Provoste en el tercer lugar
Los mayores patrimonios de la Convención Constitucional - El Dínamo	https://news.google.com/__i/rss/rd/articles/CBMidGh0dHBzOi8vd3d3LmVsZGluYW1vLmNsL3BvbGl0aWNhLzIwMjEvMDgvMTYvbG9zLW1heW9yZXMtcGF0cmltb25pb3MtYWwtaW50ZXJpb3ItZGUtbGEtY29udmVuY2lvbi1jb25zdGl0dWNpb25hbC9hbXAv0gF0aHR0cHM6Ly93d3cuZWxkaW5hbW8uY2wvcG9saXRpY2EvMjAyMS8wOC8xNi9sb3MtbWF5b3Jlcy1wYXRyaW1vbmlvcy1hbC1pbnRlcmlvci1kZS1sYS1jb252ZW5jaW9uLWNvbnN0aXR1Y2lvbmFsL2FtcC8?oc=5	El Dínamo	2021-08-16	Los mayores patrimonios de la Convención Constitucional
Millonaria licitación de pasaportes: Sonda e Idemia recurren al TCP para anular a china Aisino - BioBioChile	https://news.google.com/__i/rss/rd/articles/CBMinQFodHRwczovL3d3dy5iaW9iaW9jaGlsZS5jbC9lc3BlY2lhbC9yZXBvcnRhamVzLzIwMjEvMDgvMTYvbWlsbG9uYXJpYS1saWNpdGFjaW9uLWRlLXBhc2Fwb3J0ZXMtc29uZGEtZS1pZGVtaWEtcmVjdXJyZW4tYWwtdGNwLXBhcmEtYW51bGFyLWEtY2hpbmEtYWlzaW5vLnNodG1s0gGhAWh0dHBzOi8vd3d3LmJpb2Jpb2NoaWxlLmNsL2VzcGVjaWFsL3JlcG9ydGFqZXMvMjAyMS8wOC8xNi9hbXAvbWlsbG9uYXJpYS1saWNpdGFjaW9uLWRlLXBhc2Fwb3J0ZXMtc29uZGEtZS1pZGVtaWEtcmVjdXJyZW4tYWwtdGNwLXBhcmEtYW51bGFyLWEtY2hpbmEtYWlzaW5vLnNodG1s?oc=5	BioBioChile	2021-08-16	Millonaria licitación de pasaportes: Sonda e Idemia recurren al TCP para anular a china Aisino
Incendio en la Planta de Cementos Bío Bío en Talcahuano: reportan fuerte ruido previo a emergencia - BioBioChile	https://news.google.com/__i/rss/rd/articles/CBMisgFodHRwczovL3d3dy5iaW9iaW9jaGlsZS5jbC9ub3RpY2lhcy9uYWNpb25hbC9yZWdpb24tZGVsLWJpby1iaW8vMjAyMS8wOC8xNi9pbmNlbmRpby1lbi1sYS1wbGFudGEtZGUtY2VtZW50b3MtYmlvLWJpby1lbi10YWxjYWh1YW5vLXJlcG9ydGFuLWZ1ZXJ0ZS1ydWlkby1wcmV2aW8tYS1lbWVyZ2VuY2lhLnNodG1s0gG2AWh0dHBzOi8vd3d3LmJpb2Jpb2NoaWxlLmNsL25vdGljaWFzL25hY2lvbmFsL3JlZ2lvbi1kZWwtYmlvLWJpby8yMDIxLzA4LzE2L2FtcC9pbmNlbmRpby1lbi1sYS1wbGFudGEtZGUtY2VtZW50b3MtYmlvLWJpby1lbi10YWxjYWh1YW5vLXJlcG9ydGFuLWZ1ZXJ0ZS1ydWlkby1wcmV2aW8tYS1lbWVyZ2VuY2lhLnNodG1s?oc=5	BioBioChile	2021-08-16	Incendio en la Planta de Cementos Bío Bío en Talcahuano: reportan fuerte ruido previo a emergencia
Alcaldes piden al Minsal mayor flexibilidad para gestionar la vacunación contra el Covid - Cooperativa.cl	https://news.google.com/__i/rss/rd/articles/CBMimgFodHRwczovL2Nvb3BlcmF0aXZhLmNsL25vdGljaWFzL3NvY2llZGFkL3NhbHVkL2Nvcm9uYXZpcnVzL2FsY2FsZGVzLXBpZGVuLWFsLW1pbnNhbC1tYXlvci1mbGV4aWJpbGlkYWQtcGFyYS1nZXN0aW9uYXItbGEtdmFjdW5hY2lvbi8yMDIxLTA4LTE2LzEwMjU0OS5odG1s0gFUaHR0cHM6Ly93d3cuY29vcGVyYXRpdmEuY2wvbm90aWNpYXMvc2l0ZS9hcnRpYy8yMDIxMDgxNi9wYWdzLWFtcC8yMDIxMDgxNjEwMjU0OS5odG1s?oc=5	Cooperativa.cl	2021-08-16	Alcaldes piden al Minsal mayor flexibilidad para gestionar la vacunación contra el Covid
Encuentran con vida a pareja tras estar tres días perdidos en Antofagasta - Publimetro	https://news.google.com/__i/rss/rd/articles/CBMiYWh0dHBzOi8vd3d3LnB1YmxpbWV0cm8uY2wvY2wvbm90aWNpYXMvMjAyMS8wOC8xNi9lbmN1ZW50cmFuLXZpZGEtcGFyZWphLXBlcmRpZG9zLWFudG9mYWdhc3RhLmh0bWzSAXBodHRwczovL3d3dy5wdWJsaW1ldHJvLmNsL2NsL25vdGljaWFzLzIwMjEvMDgvMTYvZW5jdWVudHJhbi12aWRhLXBhcmVqYS1wZXJkaWRvcy1hbnRvZmFnYXN0YS5odG1sP291dHB1dFR5cGU9YW1w?oc=5	Publimetro	2021-08-16	Encuentran con vida a pareja tras estar tres días perdidos en Antofagasta
